    Item       #   Sales    Cost Revenue
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
       0       0   0.00    0.00   0.00
